"C02173V03830","Area of Residence","C02118V02559","Reason for Journey","TLIST(A1)","Year","STATISTIC","Statistic Label","UNIT","VALUE"
"USCA","United States and Canada","2","Visit to friends/relatives","2018","2018","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.5"
"USCA","United States and Canada","2","Visit to friends/relatives","2018","2018","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","173"
"USCA","United States and Canada","2","Visit to friends/relatives","2018","2018","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","11"
"USCA","United States and Canada","2","Visit to friends/relatives","2019","2019","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.7"
"USCA","United States and Canada","2","Visit to friends/relatives","2019","2019","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","180"
"USCA","United States and Canada","2","Visit to friends/relatives","2019","2019","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","11"
"USCA","United States and Canada","3","Business","2011","2011","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.3"
"USCA","United States and Canada","3","Business","2011","2011","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","64"
"USCA","United States and Canada","3","Business","2011","2011","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","9"
"USCA","United States and Canada","3","Business","2012","2012","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.7"
"USCA","United States and Canada","3","Business","2012","2012","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","91"
"USCA","United States and Canada","3","Business","2012","2012","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","10"
"USCA","United States and Canada","3","Business","2013","2013","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.9"
"USCA","United States and Canada","3","Business","2013","2013","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","80"
"USCA","United States and Canada","3","Business","2013","2013","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","9"
"USCA","United States and Canada","3","Business","2014","2014","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.5"
"USCA","United States and Canada","3","Business","2014","2014","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","92"
"USCA","United States and Canada","3","Business","2014","2014","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","9"
"USCA","United States and Canada","3","Business","2015","2015","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.7"
"USCA","United States and Canada","3","Business","2015","2015","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","112"
"USCA","United States and Canada","3","Business","2015","2015","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","9"
"USCA","United States and Canada","3","Business","2016","2016","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.7"
"USCA","United States and Canada","3","Business","2016","2016","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","130"
"USCA","United States and Canada","3","Business","2016","2016","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","11"
"USCA","United States and Canada","3","Business","2017","2017","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7"
"USCA","United States and Canada","3","Business","2017","2017","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","150"
"USCA","United States and Canada","3","Business","2017","2017","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","10"
"USCA","United States and Canada","3","Business","2018","2018","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.2"
"USCA","United States and Canada","3","Business","2018","2018","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","148"
"USCA","United States and Canada","3","Business","2018","2018","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","11"
"USCA","United States and Canada","3","Business","2019","2019","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.5"
"USCA","United States and Canada","3","Business","2019","2019","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","112"
"USCA","United States and Canada","3","Business","2019","2019","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","9"
"USCA","United States and Canada","4","Other reason for journey","2011","2011","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","12.2"
"USCA","United States and Canada","4","Other reason for journey","2011","2011","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","48"
"USCA","United States and Canada","4","Other reason for journey","2011","2011","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","10"
"USCA","United States and Canada","4","Other reason for journey","2012","2012","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","10.8"
"USCA","United States and Canada","4","Other reason for journey","2012","2012","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","47"
"USCA","United States and Canada","4","Other reason for journey","2012","2012","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","12"
"USCA","United States and Canada","4","Other reason for journey","2013","2013","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","9"
"USCA","United States and Canada","4","Other reason for journey","2013","2013","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","57"
"USCA","United States and Canada","4","Other reason for journey","2013","2013","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","15"
"USCA","United States and Canada","4","Other reason for journey","2014","2014","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.8"
"USCA","United States and Canada","4","Other reason for journey","2014","2014","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","55"
"USCA","United States and Canada","4","Other reason for journey","2014","2014","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","14"
"USCA","United States and Canada","4","Other reason for journey","2015","2015","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7"
"USCA","United States and Canada","4","Other reason for journey","2015","2015","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","79"
"USCA","United States and Canada","4","Other reason for journey","2015","2015","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","15"
"USCA","United States and Canada","4","Other reason for journey","2016","2016","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.9"
"USCA","United States and Canada","4","Other reason for journey","2016","2016","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","98"
"USCA","United States and Canada","4","Other reason for journey","2016","2016","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","16"
"USCA","United States and Canada","4","Other reason for journey","2017","2017","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.1"
"USCA","United States and Canada","4","Other reason for journey","2017","2017","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","86"
"USCA","United States and Canada","4","Other reason for journey","2017","2017","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","18"
"USCA","United States and Canada","4","Other reason for journey","2018","2018","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","3.7"
"USCA","United States and Canada","4","Other reason for journey","2018","2018","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","80"
"USCA","United States and Canada","4","Other reason for journey","2018","2018","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","21"
"USCA","United States and Canada","4","Other reason for journey","2019","2019","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.3"
"USCA","United States and Canada","4","Other reason for journey","2019","2019","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","109"
"USCA","United States and Canada","4","Other reason for journey","2019","2019","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","21"
"XB","Great Britain","-","All reasons for journey","2011","2011","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.8"
"XB","Great Britain","-","All reasons for journey","2011","2011","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","830"
"XB","Great Britain","-","All reasons for journey","2011","2011","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","44"
"XB","Great Britain","-","All reasons for journey","2012","2012","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.6"
"XB","Great Britain","-","All reasons for journey","2012","2012","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","819"
"XB","Great Britain","-","All reasons for journey","2012","2012","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","42"
"XB","Great Britain","-","All reasons for journey","2013","2013","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.7"
"XB","Great Britain","-","All reasons for journey","2013","2013","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","847"
"XB","Great Britain","-","All reasons for journey","2013","2013","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","41"
"XB","Great Britain","-","All reasons for journey","2014","2014","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.5"
"XB","Great Britain","-","All reasons for journey","2014","2014","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","885"
"XB","Great Britain","-","All reasons for journey","2014","2014","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","41"
"XB","Great Britain","-","All reasons for journey","2015","2015","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.3"
"XB","Great Britain","-","All reasons for journey","2015","2015","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","971"
"XB","Great Britain","-","All reasons for journey","2015","2015","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","40"
"XB","Great Britain","-","All reasons for journey","2016","2016","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.2"
"XB","Great Britain","-","All reasons for journey","2016","2016","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1061"
"XB","Great Britain","-","All reasons for journey","2016","2016","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","40"
"XB","Great Britain","-","All reasons for journey","2017","2017","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.4"
"XB","Great Britain","-","All reasons for journey","2017","2017","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1007"
"XB","Great Britain","-","All reasons for journey","2017","2017","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","37"
"XB","Great Britain","-","All reasons for journey","2018","2018","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.1"
"XB","Great Britain","-","All reasons for journey","2018","2018","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","981"
"XB","Great Britain","-","All reasons for journey","2018","2018","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","35"
"XB","Great Britain","-","All reasons for journey","2019","2019","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.1"
"XB","Great Britain","-","All reasons for journey","2019","2019","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","977"
"XB","Great Britain","-","All reasons for journey","2019","2019","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","35"
"XB","Great Britain","1","Holiday/leisure/recreation","2011","2011","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.1"
"XB","Great Britain","1","Holiday/leisure/recreation","2011","2011","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","316"
"XB","Great Britain","1","Holiday/leisure/recreation","2011","2011","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","34"
"XB","Great Britain","1","Holiday/leisure/recreation","2012","2012","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.8"
"XB","Great Britain","1","Holiday/leisure/recreation","2012","2012","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","294"
"XB","Great Britain","1","Holiday/leisure/recreation","2012","2012","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","31"
"XB","Great Britain","1","Holiday/leisure/recreation","2013","2013","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","5"
"XB","Great Britain","1","Holiday/leisure/recreation","2013","2013","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","312"
"XB","Great Britain","1","Holiday/leisure/recreation","2013","2013","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","30"
"XB","Great Britain","1","Holiday/leisure/recreation","2014","2014","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.6"
"XB","Great Britain","1","Holiday/leisure/recreation","2014","2014","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","338"
"XB","Great Britain","1","Holiday/leisure/recreation","2014","2014","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","30"
"XB","Great Britain","1","Holiday/leisure/recreation","2015","2015","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.5"
"XB","Great Britain","1","Holiday/leisure/recreation","2015","2015","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","403"
"XB","Great Britain","1","Holiday/leisure/recreation","2015","2015","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","30"
"XB","Great Britain","1","Holiday/leisure/recreation","2016","2016","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.3"
"XB","Great Britain","1","Holiday/leisure/recreation","2016","2016","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","455"
"XB","Great Britain","1","Holiday/leisure/recreation","2016","2016","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","31"
"XB","Great Britain","1","Holiday/leisure/recreation","2017","2017","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.4"
"XB","Great Britain","1","Holiday/leisure/recreation","2017","2017","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","410"
"XB","Great Britain","1","Holiday/leisure/recreation","2017","2017","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","27"
"XB","Great Britain","1","Holiday/leisure/recreation","2018","2018","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.2"
"XB","Great Britain","1","Holiday/leisure/recreation","2018","2018","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","421"
"XB","Great Britain","1","Holiday/leisure/recreation","2018","2018","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","25"
"XB","Great Britain","1","Holiday/leisure/recreation","2019","2019","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.3"
"XB","Great Britain","1","Holiday/leisure/recreation","2019","2019","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","422"
"XB","Great Britain","1","Holiday/leisure/recreation","2019","2019","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","25"
"XB","Great Britain","2","Visit to friends/relatives","2011","2011","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.7"
"XB","Great Britain","2","Visit to friends/relatives","2011","2011","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","294"
"XB","Great Britain","2","Visit to friends/relatives","2011","2011","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","61"
"XB","Great Britain","2","Visit to friends/relatives","2012","2012","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.5"
"XB","Great Britain","2","Visit to friends/relatives","2012","2012","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","273"
"XB","Great Britain","2","Visit to friends/relatives","2012","2012","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","62"
"XB","Great Britain","2","Visit to friends/relatives","2013","2013","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.6"
"XB","Great Britain","2","Visit to friends/relatives","2013","2013","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","307"
"XB","Great Britain","2","Visit to friends/relatives","2013","2013","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","60"
"XB","Great Britain","2","Visit to friends/relatives","2014","2014","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.6"
"XB","Great Britain","2","Visit to friends/relatives","2014","2014","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","316"
"XB","Great Britain","2","Visit to friends/relatives","2014","2014","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","58"
"XB","Great Britain","2","Visit to friends/relatives","2015","2015","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.4"
"XB","Great Britain","2","Visit to friends/relatives","2015","2015","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","316"
"XB","Great Britain","2","Visit to friends/relatives","2015","2015","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","58"
"XB","Great Britain","2","Visit to friends/relatives","2016","2016","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.3"
"XB","Great Britain","2","Visit to friends/relatives","2016","2016","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","344"
"XB","Great Britain","2","Visit to friends/relatives","2016","2016","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","56"
"XB","Great Britain","2","Visit to friends/relatives","2017","2017","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.3"
"XB","Great Britain","2","Visit to friends/relatives","2017","2017","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","344"
"XB","Great Britain","2","Visit to friends/relatives","2017","2017","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","56"
"XB","Great Britain","2","Visit to friends/relatives","2018","2018","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.2"
"XB","Great Britain","2","Visit to friends/relatives","2018","2018","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","313"
"XB","Great Britain","2","Visit to friends/relatives","2018","2018","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","54"
"XB","Great Britain","2","Visit to friends/relatives","2019","2019","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.2"
"XB","Great Britain","2","Visit to friends/relatives","2019","2019","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","311"
"XB","Great Britain","2","Visit to friends/relatives","2019","2019","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","53"
"XB","Great Britain","3","Business","2011","2011","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","2.6"
"XB","Great Britain","3","Business","2011","2011","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","185"
"XB","Great Britain","3","Business","2011","2011","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","50"
"XB","Great Britain","3","Business","2012","2012","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","2.9"
"XB","Great Britain","3","Business","2012","2012","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","217"
"XB","Great Britain","3","Business","2012","2012","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","50"
"XB","Great Britain","3","Business","2013","2013","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","2.9"
"XB","Great Britain","3","Business","2013","2013","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","203"
"XB","Great Britain","3","Business","2013","2013","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","50"
"XB","Great Britain","3","Business","2014","2014","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","2.9"
"XB","Great Britain","3","Business","2014","2014","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","207"
"XB","Great Britain","3","Business","2014","2014","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","48"
"XB","Great Britain","3","Business","2015","2015","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","2.7"
"XB","Great Britain","3","Business","2015","2015","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","226"
"XB","Great Britain","3","Business","2015","2015","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","48"
"XB","Great Britain","3","Business","2016","2016","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","2.8"
"XB","Great Britain","3","Business","2016","2016","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","234"
"XB","Great Britain","3","Business","2016","2016","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","47"
"XB","Great Britain","3","Business","2017","2017","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","3.6"
"XB","Great Britain","3","Business","2017","2017","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","223"
"XB","Great Britain","3","Business","2017","2017","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","44"
"XB","Great Britain","3","Business","2018","2018","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","2.8"
"XB","Great Britain","3","Business","2018","2018","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","227"
"XB","Great Britain","3","Business","2018","2018","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","44"
"XB","Great Britain","3","Business","2019","2019","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","3"
"XB","Great Britain","3","Business","2019","2019","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","220"
"XB","Great Britain","3","Business","2019","2019","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","43"
"XB","Great Britain","4","Other reason for journey","2011","2011","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.5"
"XB","Great Britain","4","Other reason for journey","2011","2011","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","35"
"XB","Great Britain","4","Other reason for journey","2011","2011","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","19"
"XB","Great Britain","4","Other reason for journey","2012","2012","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","5"
"XB","Great Britain","4","Other reason for journey","2012","2012","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","35"
"XB","Great Britain","4","Other reason for journey","2012","2012","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","11"
"XB","Great Britain","4","Other reason for journey","2013","2013","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","3.1"
"XB","Great Britain","4","Other reason for journey","2013","2013","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","24"
"XB","Great Britain","4","Other reason for journey","2013","2013","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","11"
"XB","Great Britain","4","Other reason for journey","2014","2014","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","3.4"
"XB","Great Britain","4","Other reason for journey","2014","2014","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","25"
"XB","Great Britain","4","Other reason for journey","2014","2014","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","14"
"XB","Great Britain","4","Other reason for journey","2015","2015","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","2.2"
"XB","Great Britain","4","Other reason for journey","2015","2015","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","25"
"XB","Great Britain","4","Other reason for journey","2015","2015","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","17"
"XB","Great Britain","4","Other reason for journey","2016","2016","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","1.7"
"XB","Great Britain","4","Other reason for journey","2016","2016","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","28"
"XB","Great Britain","4","Other reason for journey","2016","2016","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","14"
"XB","Great Britain","4","Other reason for journey","2017","2017","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","2"
"XB","Great Britain","4","Other reason for journey","2017","2017","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","30"
"XB","Great Britain","4","Other reason for journey","2017","2017","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","13"
"XB","Great Britain","4","Other reason for journey","2018","2018","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","1.2"
"XB","Great Britain","4","Other reason for journey","2018","2018","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","20"
"XB","Great Britain","4","Other reason for journey","2018","2018","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","12"
"XB","Great Britain","4","Other reason for journey","2019","2019","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","1"
"XB","Great Britain","4","Other reason for journey","2019","2019","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","23"
"XB","Great Britain","4","Other reason for journey","2019","2019","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","11"
"ZZEURQ06","Other Europe (14)","-","All reasons for journey","2011","2011","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","10.2"
"ZZEURQ06","Other Europe (14)","-","All reasons for journey","2011","2011","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","580"
"ZZEURQ06","Other Europe (14)","-","All reasons for journey","2011","2011","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","19"
"ZZEURQ06","Other Europe (14)","-","All reasons for journey","2012","2012","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.1"
"ZZEURQ06","Other Europe (14)","-","All reasons for journey","2012","2012","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","544"
"ZZEURQ06","Other Europe (14)","-","All reasons for journey","2012","2012","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","19"
"ZZEURQ06","Other Europe (14)","-","All reasons for journey","2013","2013","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.8"
