"C02173V02619","Area of Residence","TLIST(A1)","Year","STATISTIC","Statistic Label","UNIT","VALUE"
"USCA","United States and Canada","2014","2014","TMA09C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.4"
"USCA","United States and Canada","2014","2014","TMA09C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","935"
"USCA","United States and Canada","2015","2015","TMA09C1","Overseas Trips to Ireland by Non-Residents","Thousand","1514"
"USCA","United States and Canada","2015","2015","TMA09C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.7"
"USCA","United States and Canada","2015","2015","TMA09C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1197"
"USCA","United States and Canada","2016","2016","TMA09C1","Overseas Trips to Ireland by Non-Residents","Thousand","1808"
"USCA","United States and Canada","2016","2016","TMA09C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.2"
"USCA","United States and Canada","2016","2016","TMA09C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1335"
"USCA","United States and Canada","2017","2017","TMA09C1","Overseas Trips to Ireland by Non-Residents","Thousand","2101"
"USCA","United States and Canada","2017","2017","TMA09C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.9"
"USCA","United States and Canada","2017","2017","TMA09C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1523"
"USCA","United States and Canada","2018","2018","TMA09C1","Overseas Trips to Ireland by Non-Residents","Thousand","2384"
"USCA","United States and Canada","2018","2018","TMA09C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.6"
"USCA","United States and Canada","2018","2018","TMA09C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1735"
"USCA","United States and Canada","2019","2019","TMA09C1","Overseas Trips to Ireland by Non-Residents","Thousand","2412"
"USCA","United States and Canada","2019","2019","TMA09C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.4"
"USCA","United States and Canada","2019","2019","TMA09C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1691"
"XB","Great Britain (includes England, Scotland, Wales)","2009","2009","TMA09C1","Overseas Trips to Ireland by Non-Residents","Thousand","3224"
"XB","Great Britain (includes England, Scotland, Wales)","2009","2009","TMA09C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.8"
"XB","Great Britain (includes England, Scotland, Wales)","2009","2009","TMA09C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1037"
"XB","Great Britain (includes England, Scotland, Wales)","2010","2010","TMA09C1","Overseas Trips to Ireland by Non-Residents","Thousand","2806"
"XB","Great Britain (includes England, Scotland, Wales)","2010","2010","TMA09C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","5"
"XB","Great Britain (includes England, Scotland, Wales)","2010","2010","TMA09C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","859"
"XB","Great Britain (includes England, Scotland, Wales)","2011","2011","TMA09C1","Overseas Trips to Ireland by Non-Residents","Thousand","2878"
"XB","Great Britain (includes England, Scotland, Wales)","2011","2011","TMA09C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.8"
"XB","Great Britain (includes England, Scotland, Wales)","2011","2011","TMA09C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","830"
"XB","Great Britain (includes England, Scotland, Wales)","2012","2012","TMA09C1","Overseas Trips to Ireland by Non-Residents","Thousand","2774"
"XB","Great Britain (includes England, Scotland, Wales)","2012","2012","TMA09C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.6"
"XB","Great Britain (includes England, Scotland, Wales)","2012","2012","TMA09C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","819"
"XB","Great Britain (includes England, Scotland, Wales)","2013","2013","TMA09C1","Overseas Trips to Ireland by Non-Residents","Thousand","2929"
"XB","Great Britain (includes England, Scotland, Wales)","2013","2013","TMA09C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.7"
"XB","Great Britain (includes England, Scotland, Wales)","2013","2013","TMA09C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","847"
"XB","Great Britain (includes England, Scotland, Wales)","2014","2014","TMA09C1","Overseas Trips to Ireland by Non-Residents","Thousand","3164"
"XB","Great Britain (includes England, Scotland, Wales)","2014","2014","TMA09C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.5"
"XB","Great Britain (includes England, Scotland, Wales)","2014","2014","TMA09C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","885"
"XB","Great Britain (includes England, Scotland, Wales)","2015","2015","TMA09C1","Overseas Trips to Ireland by Non-Residents","Thousand","3547"
"XB","Great Britain (includes England, Scotland, Wales)","2015","2015","TMA09C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.3"
"XB","Great Britain (includes England, Scotland, Wales)","2015","2015","TMA09C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","971"
"XB","Great Britain (includes England, Scotland, Wales)","2016","2016","TMA09C1","Overseas Trips to Ireland by Non-Residents","Thousand","3924"
"XB","Great Britain (includes England, Scotland, Wales)","2016","2016","TMA09C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.2"
"XB","Great Britain (includes England, Scotland, Wales)","2016","2016","TMA09C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1061"
"XB","Great Britain (includes England, Scotland, Wales)","2017","2017","TMA09C1","Overseas Trips to Ireland by Non-Residents","Thousand","3729"
"XB","Great Britain (includes England, Scotland, Wales)","2017","2017","TMA09C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.4"
"XB","Great Britain (includes England, Scotland, Wales)","2017","2017","TMA09C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1007"
"XB","Great Britain (includes England, Scotland, Wales)","2018","2018","TMA09C1","Overseas Trips to Ireland by Non-Residents","Thousand","3759"
"XB","Great Britain (includes England, Scotland, Wales)","2018","2018","TMA09C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.1"
"XB","Great Britain (includes England, Scotland, Wales)","2018","2018","TMA09C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","981"
"XB","Great Britain (includes England, Scotland, Wales)","2019","2019","TMA09C1","Overseas Trips to Ireland by Non-Residents","Thousand","3788"
"XB","Great Britain (includes England, Scotland, Wales)","2019","2019","TMA09C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.1"
"XB","Great Britain (includes England, Scotland, Wales)","2019","2019","TMA09C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","977"
"ZZAC2","Australia and New Zealand","2009","2009","TMA09C1","Overseas Trips to Ireland by Non-Residents","Thousand",""
"ZZAC2","Australia and New Zealand","2009","2009","TMA09C2","Average Length of Stay by Overseas Travellers to Ireland","Nights",""
"ZZAC2","Australia and New Zealand","2009","2009","TMA09C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million",""
"ZZAC2","Australia and New Zealand","2010","2010","TMA09C1","Overseas Trips to Ireland by Non-Residents","Thousand",""
"ZZAC2","Australia and New Zealand","2010","2010","TMA09C2","Average Length of Stay by Overseas Travellers to Ireland","Nights",""
"ZZAC2","Australia and New Zealand","2010","2010","TMA09C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million",""
"ZZAC2","Australia and New Zealand","2011","2011","TMA09C1","Overseas Trips to Ireland by Non-Residents","Thousand","141"
"ZZAC2","Australia and New Zealand","2011","2011","TMA09C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","11.7"
"ZZAC2","Australia and New Zealand","2011","2011","TMA09C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","117"
"ZZAC2","Australia and New Zealand","2012","2012","TMA09C1","Overseas Trips to Ireland by Non-Residents","Thousand","155"
"ZZAC2","Australia and New Zealand","2012","2012","TMA09C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","11.6"
"ZZAC2","Australia and New Zealand","2012","2012","TMA09C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","133"
"ZZAC2","Australia and New Zealand","2013","2013","TMA09C1","Overseas Trips to Ireland by Non-Residents","Thousand","187"
"ZZAC2","Australia and New Zealand","2013","2013","TMA09C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","11.8"
"ZZAC2","Australia and New Zealand","2013","2013","TMA09C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","168"
"ZZAC2","Australia and New Zealand","2014","2014","TMA09C1","Overseas Trips to Ireland by Non-Residents","Thousand","190"
"ZZAC2","Australia and New Zealand","2014","2014","TMA09C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","12.5"
"ZZAC2","Australia and New Zealand","2014","2014","TMA09C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","177"
"ZZAC2","Australia and New Zealand","2015","2015","TMA09C1","Overseas Trips to Ireland by Non-Residents","Thousand","207"
"ZZAC2","Australia and New Zealand","2015","2015","TMA09C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","12.3"
"ZZAC2","Australia and New Zealand","2015","2015","TMA09C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","200"
"ZZAC2","Australia and New Zealand","2016","2016","TMA09C1","Overseas Trips to Ireland by Non-Residents","Thousand","204"
"ZZAC2","Australia and New Zealand","2016","2016","TMA09C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","12.5"
"ZZAC2","Australia and New Zealand","2016","2016","TMA09C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","204"
"ZZAC2","Australia and New Zealand","2017","2017","TMA09C1","Overseas Trips to Ireland by Non-Residents","Thousand","208"
"ZZAC2","Australia and New Zealand","2017","2017","TMA09C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","12.6"
"ZZAC2","Australia and New Zealand","2017","2017","TMA09C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","207"
"ZZAC2","Australia and New Zealand","2018","2018","TMA09C1","Overseas Trips to Ireland by Non-Residents","Thousand","228"
"ZZAC2","Australia and New Zealand","2018","2018","TMA09C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","12"
"ZZAC2","Australia and New Zealand","2018","2018","TMA09C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","218"
